116th Bill Name,117th Bill Name,Short Title
116-HB3453,117-HB3880,"To amend the Internal Revenue Code of 1986 to allow for contributions to the Alzheimer's Research and Caregiving Trust Fund, and for other purposes."
116-HR1102,117-HR104,"Recognizing the duty of the Federal Government to implement an agenda to Transform, Heal, and Renew by Investing in a Vibrant Economy (""THRIVE"")."
116-HB2331,117-HB3462,SBA Cyber Awareness Act
116-HB5969,117-HB2638,Public Housing Fire Safety Act
116-HB8377,117-HB3301,CEO Accountability and Responsibility Act
116-HB7280,117-HB2711,To amend the Internal Revenue Code of 1986 to provide an exclusion from gross income for certain wastewater management subsidies.
116-HCR79,117-HCR68,"Expressing the sense of the Congress that assisted suicide (sometimes referred to using other terms) puts everyone, including those most vulnerable, at risk of deadly harm."
116-HB2548,117-HB1917,Hazard Eligibility and Local Projects Act
116-HB8714,117-HB1418,Family Friendly Schools Act
116-HB7793,117-HB5484,Financial Compensation for CFPB Whistleblowers Act
116-HR886,117-HR1164,"Condemning Charles ""Chuck"" Schumer, Senator of New York."
116-HB8927,117-HB7190,Federal Gift Shop Tax Act
116-HB4351,117-HB3198,Yes In My Backyard Act
116-HB4538,117-HB853,Closing Loopholes for Orphan Drugs Act
116-HB6992,117-HB2341,Bring Jobs Home Act
116-HB4327,117-HB5407,Enhancing Mental Health and Suicide Prevention Through Campus Planning Act
116-HB5923,117-HB8668,Fair Access to Co-ops for Veterans Act
116-HB8893,117-HB795,Coronavirus Assistance for American Families Act
116-HB2234,117-HB3032,Jonny Wade Pediatric Cancer Research Act
116-HB1709,117-HB849,Scientific Integrity Act
116-HB2961,117-HB6181,Samish Indian Nation Land Reaffirmation Act
116-HB2307,117-HB1296,"To amend title 5, United States Code, to provide authority to the Administrator of the Drug Enforcement Administration to provide a cash award to Administration employees with foreign language skills, and for other purposes."
116-HB5417,117-HB1687,Significant Transnational Criminal Organization Designation Act
116-HB8928,117-HB6135,Portable Generator Safety STANDARD Act Portable Generator Safety Standard To Avoid Needless Deaths And Reduce Disabilities Act
116-HB8049,117-HB2157,Stop Poisoning Florida Act
116-HB1186,117-HB2510,Keep Americans Safe Act
116-HB162,117-HB347,Presidential Tax Transparency Act
116-HJR49,117-HJR24,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States."
116-HJR34,117-HJR24,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States."
116-HR119,117-HR923,Supporting the goals and ideals of Career and Technical Education Month.
116-HR864,117-HR923,Supporting the goals and ideals of Career and Technical Education Month.
116-HB8389,117-HB609,"To amend title 49, United States Code, to require Amtrak to convey of certain properties to the Commonwealth of Pennsylvania, and for other purposes."
116-HB2285,117-HB9599,Heidi’s Law
116-HB5189,117-HB3337,BABIES Act Birth Access Benefiting Improved Essential Facility Services Act
116-HR343,117-HR1021,"Recognizing the commencement of Ramadan, the Muslim holy month of fasting and spiritual renewal, and commending Muslims in the United States and throughout the world for their faith."
116-HR940,117-HR1021,"Recognizing the commencement of Ramadan, the Muslim holy month of fasting and spiritual renewal, and commending Muslims in the United States and throughout the world for their faith."
116-HB3332,117-HB5430,"To amend title XVIII of the Social Security Act to provide coverage for wigs as durable medical equipment under the Medicare program, and for other purposes."
116-HB5326,117-HB2812,Fairness in Nursing Home Arbitration Act
116-HB3823,117-HB3931,Promoting Health Careers in Community and Technical Colleges Act
116-HB7626,117-HB2551,Bonneville Shoreline Trail Advancement Act
116-HB1080,117-HB3194,Fairness for Farm Workers Act
116-HB4738,117-HB3229,Pregnancy Discrimination Amendment Act
116-HB7823,117-HB1798,Emergency Rural Community Relief Act
116-HB6238,117-HB2623,Cameron’s Law
116-HB5005,117-HB8202,Preventing Vape Use Act
116-HR1069,117-HR344,Declaring racism a public health crisis.
116-HB7927,117-HB1453,Military Spouses Retirement Security Act
116-HB8286,117-HB1214,Countering Chinese Propaganda Act
116-HR335,117-HR353,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.
116-HR948,117-HR353,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.
116-HB4757,117-HB2140,American Innovation Act
116-HB2400,117-HB2140,American Innovation Act
116-HB7314,117-HB150,Workers’ Memorial Day
116-HR792,117-HR889,Supporting the contributions of Catholic schools.
116-HR51,117-HR889,Supporting the contributions of Catholic schools.
116-HB3154,117-HB782,Homeownership for DREAMers Act
116-HB8398,117-HB2546,University of Alaska Fiscal Foundation Act
116-HB6248,117-HB1697,Disability Access to Transportation Act
116-HR848,117-HR759,"Expressing the support of the House of Representatives for the designation of ""Public Radio Music Day"" and its deep appreciation for the role of public radio music stations in serving listeners, musicians, and hundreds of communities in the United States."
116-HCR90,117-HCR74,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.
116-HCR16,117-HCR74,Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.
116-HB164,117-HB101,CLEAN Public Service Act Citizen Legislature Anti-Corruption Reform of Public Service Act
116-HB7355,117-HB1055,Federal Broadband Deployment Tracking Act
116-HB2991,117-HB5866,Protection of Social Security Benefits Restoration Act
116-HR1066,117-HR1270,Recognizing the importance of independent living for individuals with disabilities made possible by the Americans with Disabilities Act of 1990 and calling for further action to strengthen home and community living for individuals with disabilities.
116-HB3374,117-HB1443,LGBTQ Business Equal Credit Enforcement and Investment Act
116-HB1819,117-HB4250,War Crimes Rewards Expansion Act
116-HB879,117-HB510,Support Local Transportation Act
116-HB5623,117-HB6909,For the relief of Tetyana Zvarychuk.
116-HB1379,117-HB7702,Ensuring Lasting Smiles Act
116-HB5875,117-HB1013,Protect Our Military Families’ 2nd Amendment Rights Act
116-HB2251,117-HB1013,Protect Our Military Families’ 2nd Amendment Rights Act
116-HB2925,117-HB5524,Protecting Data at the Border Act
116-HB8491,117-HB5431,Designating the Chinese Communist Party as a Transnational Organized Crime Group Act
116-HB3769,117-HB1199,STEM Diplomacy Act Supporting Technical Experts in Managing Diplomacy Act
116-HB7333,117-HB1039,Coastal Broadband Deployment Act
116-HB8205,117-HB976,ETHIC Act Ensuring Transparent Honest Information on COVID–19 Act
116-HB4275,117-HB1921,"To amend the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, and for other purposes."
116-HB8978,117-HB9053,Community Driven Recovery for Puerto Rico Act
116-HB1527,117-HB7158,Long-Term Care Veterans Choice Act
116-HJR23,117-HJR23,Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.
116-HB2240,117-HB872,One Subject at a Time Act
116-HJR73,117-HJR101,Proposing an amendment to the Constitution of the United States regarding the permissible sources of funding for elections for public office and State ballot measures.
116-HB1012,117-HB530,"REUNITE Act Reunite Every Unaccompanied Newborn Infant, Toddler and other children Expeditiously Act"
116-HB491,117-HB5379,ASAP Act Armed Services Always Paid Act
116-HB4136,117-HB5979,District of Columbia Bridges Home Rule Act
116-HR719,117-HR1483,Supporting the goals and ideals of National Rural Health Day.
116-HR1200,117-HR1483,Supporting the goals and ideals of National Rural Health Day.
116-HB932,117-HB1033,Renewable Energy Certainty Act
116-HB4076,117-HB3454,Modernizing Disclosures for Investors Act
116-HR270,117-HR270,Expressing support for designation of a Welcome Home Vietnam Veterans Day.
116-HR1167,117-HR18,"Honoring the life of Dr. Frank Erdman Boston as a World War I veteran, military surgeon, community doctor, and founder of the Elm Terrace/Abington Lansdale Hospital and the Volunteer Medical Service Corps (VMSC) ambulance corps."
116-HB3455,117-HB3232,For the relief of Ingrid Encalada Latorre.
116-HB8751,117-HB9116,Unrecognized Southeast Alaska Native Communities Recognition and Compensation Act
116-HR1205,117-HR753,"Expressing support for the designation of October 28 as ""Oxi Day"" to commemorate the anniversary of Greek Prime Minister Ioannis Metaxas' answer of ""Oxi!"" or ""No!"" to surrender to the Axis forces, inflicting a fatal wound that helped save democracy for the world."
116-HR644,117-HR753,"Expressing support for the designation of October 28 as ""Oxi Day"" to commemorate the anniversary of Greek Prime Minister Ioannis Metaxas' answer of ""Oxi!"" or ""No!"" to surrender to the Axis forces, inflicting a fatal wound that helped save democracy for the world."
116-HB8255,117-HB1619,Catawba Indian Nation Lands Act
116-HB3096,117-HB4724,Strengthening Loan Forgiveness for Public Servants Act
116-HB4542,117-HB2107,Nation’s Oldest Port National Heritage Area Act
116-HR735,117-HR846,"Recognizing the maternal health crisis among indigenous women in the United States, which includes American Indian, Alaska Native, and Native Hawaiian women, recognizing the importance of reducing mortality and morbidity among indigenous women, and calling for urgent Federal funding changes to ensure comprehensive, high-quality, and culturally competent maternal health and family planning services are available."
116-HB5223,117-HB8599,GROW Affordable Housing Act Generating Resources and Opportunities Within Affordable Housing Act
116-HB2050,117-HB2073,ACHE Act Appalachian Communities Health Emergency Act
116-HB1639,117-HB4138,CBP Workload Staffing Model Act
116-HR1044,117-HR525,Expressing support for the designation of Journeyman Lineworkers Recognition Day.
116-HB2886,117-HB185,Veterans Affairs Transfer of Information and Sharing of Disability Examination Procedures With DOD Doctors Act
116-HB5200,117-HB1176,PSA Screening for HIM Act Prostate-Specific Antigen Screening for High-risk Insured Men Act
116-HB72,117-HB34,Let Lenders Lend Act
116-HB2743,117-HB1486,"To repeal the Office of Financial Research, and for other purposes."
116-HCR32,117-HCR45,"Expressing the sense of Congress regarding the execution-style murders of United States citizens Ylli, Agron, and Mehmet Bytyqi in the Republic of Serbia in July 1999."
116-HB3057,117-HB1793,Immediate Coverage for Former Foster Youth Act
116-HB4683,117-HB2423,District of Columbia Juror Pay Parity Act
116-HB3914,117-HB3872,To apologize for the treatment of Italian Americans during World War II.
116-HB7269,117-HB3761,Promising Pathway Act
116-HB1215,117-HB1269,Social Security and Medicare Lock-Box Act
116-HB102,117-HB75,No Pay Raise for Congress Act
116-HB5589,117-HB2750,Blue Carbon for Our Planet Act
116-HB7122,117-HB3331,Taxpayer Receipt Act
116-HB2651,117-HB2897,Improving Training for School Food Service Workers Act
116-HB1860,117-HB3346,No Rate Regulation of Broadband Internet Access Act
116-HB4289,117-HB8960,BADGES for Native Communities Act Bridging Agency Data Gaps and Ensuring Safety for Native Communities Act
116-HB4169,117-HB4529,Religious Freedom Peace Tax Fund Act
116-HB81,117-HB6514,To amend the Internal Revenue Code of 1986 to allow an above-the-line deduction for health insurance premiums.
116-HB8725,117-HB2170,HAPI Act Helping Adults Protect Immunity Act
116-HB8514,117-HB6708,Student Loan Relief Act
116-HB7037,117-HB311,To provide for quality assurance of COVID-19 reimbursements and reporting.
116-HB1787,117-HB4083,Corey Jones Act
116-HCR30,117-HCR24,Recognizing the significance of equal pay and the disparity between wages paid to men and women.
116-HB5212,117-HB3746,Accountable Care in Rural America Act
116-HB5637,117-HB2111,Michael Lecik Military Firefighters Protection Act
116-HB7186,117-HB2854,Utility Resilience and Reliability Act
116-HB8992,117-HB4484,"To amend the Homeland Security Act of 2002 to provide for certain succession reforms, and for other purposes."
116-HB7392,117-HB4339,Military PFAS Testing Disclosure Act
116-HB8237,117-HB2195,Protecting the Employment Rights of Servicemembers Act
116-HB6045,117-HB4779,Recognizing the Role of Direct Support Professionals Act
116-HB2127,117-HB278,No Taxpayer-Funded Art in Embassies Act
116-HB99,117-HB72,Thin Blue Line Act
116-HB5701,117-HB110,Care for the Veteran Caregiver Act
116-HB8469,117-HB438,"To amend the Alyce Spotted Bear and Walter Soboleff Commission on Native Children Act to extend the deadline for a report by the Alyce Spotted Bear and Walter Soboleff Commission on Native Children, and for other purposes."
116-HR23,117-HR109,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of door delivery for all business and residential customers.
116-HB4886,117-HB3673,National ACERT Grant Program Authorization Act
116-HB651,117-HB1081,Charitable Giving Tax Deduction Act
116-HB1762,117-HB3382,Partner with Korea Act
116-HB2542,117-HB385,PLACE Act Preparing Localities for an Autonomous and Connected Environment Act
116-HR1151,117-HR801,Recognizing violence against women in politics as a global phenomenon and supporting women's full and meaningful participation in political life.
116-HB7918,117-HB3300,Get the Lead Out Act
116-HB8341,117-HB4762,Workplace Choice and Flexibility for Individuals with Disabilities Act
116-HR733,117-HR97,Reaffirming the importance of the United States relationship with the Dominican Republic.
116-HB1522,117-HB3389,Congressional and Executive Foreign Lobbying Ban Act
116-HB8986,117-HB2842,"To designate the facility of the United States Postal Service located at 120 4th Street in Petaluma, California, as the ""Lynn C. Woolsey Post Office Building""."
116-HB4676,117-HB599,Protecting Medicare Beneficiaries with Pre-Existing Conditions Act
116-HB199,117-HB5647,SCRAP Act Stop Congressional Retirees Accessing Perks Act
116-HB5848,117-HB3822,ASSET Act Allowing Steady Savings by Eliminating Tests Act
