Match Type,Count,Min,Max,Mean,Median,Mode,25th Percentile,75th Percentile,Std Dev
short,1945,0.5531537168515935,0.9972250680162358,0.946703404791164,0.9550723509226099,0.5531537168515935,0.9349295322568901,0.970587041939075,0.0436662925863028
long,417,0.5446047279724204,0.9985022636770633,0.9455907581462586,0.9571757276958851,0.5446047279724204,0.9357965277533495,0.9737831296146663,0.04922977010823605
short & long,311,0.6414034010533565,0.9951911727055314,0.9548611670821233,0.9641686676958671,0.6414034010533565,0.9444720067837624,0.976192393923407,0.035831832858893
