116th Bill Name,117th Bill Name,Matches,Short Title,Long Title
116-HB8945,117-HB1066,short & long,Wildfire Recovery Act,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide flexibility with the cost share for fire management assistance, and for other purposes."
116-HJR69,117-HJR93,short,Proposing an amendment to the Constitution of the United States to require the United States and the States to jointly ensure a high-quality education to all persons within the United States.,
116-HB5420,117-HB2626,short,Pullman National Historical Park Act,
116-HB1377,117-HB1585,short,Mark Takai Atomic Veterans Healthcare Parity Act,
116-HB7605,117-HB3739,short & long,Coast Guard Combat-Injured Tax Fairness Act,To amend the Combat-Injured Veterans Tax Fairness Act of 2016 to apply to members of the Coast Guard when the Coast Guard is not operating as a service in the Department of the Navy.
116-HB2525,117-HB2058,short,Steel Valley National Heritage Area Act,
116-HB7983,117-HB1072,short,COVID–19 in Corrections Data Transparency Act,
116-HB6936,117-HB3774,short,Advancing Gig Economy Act,
116-HB7446,117-HB2763,short,Job Creation through Energy Efficient Manufacturing Act,
116-HB5086,117-HB7159,short,"To terminate certain waivers of sanctions with respect to Iran issued in connection with the Joint Comprehensive Plan of Action, and for other purposes.",
116-HB1487,117-HB1354,short,Santa Monica Mountains National Recreation Area Boundary Adjustment Study Act,
116-HB4714,117-HB2866,long,,To prioritize funding for an expanded and sustained national investment in agriculture research.
116-HB1501,117-HB1567,short,Police Officers Protecting Children Act,
116-HB3913,117-HB3871,short,To authorize the Secretary of Education to provide grants for education programs on the history of the treatment of Italian Americans during World War II.,
116-HB98,117-HB71,short,Criminal Alien Gang Member Removal Act,
116-HB7527,117-HB2653,long,,To rescue domestic medical manufacturing activity by providing incentives in economically distressed areas of the United States and its possessions.
116-HB8122,117-HB2299,short,Protecting Tourism in the United States Act,
116-HB1090,117-HB657,short,District of Columbia National Guard Home Rule Act,
116-HB5237,117-HB4765,short,Purple Heart Flag Act,
116-HB5891,117-HB386,short,Safe Routes to School Expansion Act,
116-HB3990,117-HB3130,short,Operation Stonegarden Authorization Act,
116-HR648,117-HR726,short,"Honoring the lives, work, and sacrifice of Joseph Curseen, Jr., and Thomas Morris, Jr., the 2 United States Postal Service employees who died as a result of their contact with anthrax while working at the United States Postal Facility located at 900 Brentwood Road NE, Washington, DC, during the anthrax attack in the fall of 2001; United States Postal Service employees, who have continued to work diligently in service to the people of the United States notwithstanding the anthrax attack; as well as the other 3 Americans who died and the 17 who became ill in the attack.",
116-HB8880,117-HB4156,short & long,"HONEST Enterprise Act Honoring Organizations Nationally for Ethics, Sustainability, and Trust Act","To establish the Compassionate Capitalist Award to recognize organizations that substantially benefit the well-being of their employees, stakeholders, and communities, and for other purposes."
116-HB4394,117-HB2535,short,Protecting Flores Agreement Act,
116-HR755,117-HR32,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
