116th Bill Name,117th Bill Name,Matches,Short Title,Long Title
116-HB1702,117-HB1029,short,Free Veterans from Fees Act,
116-HB1818,117-HB5655,short,Kelsey Smith Act,
116-HB8599,117-HB1538,long,,"To amend the United States-Mexico Border Health Commission Act, with respect to preparedness for COVID-19 and other infectious diseases in the border region, and for other purposes."
116-HB8773,117-HB3501,short,To amend the Harmonized Tariff Schedule of the United States to provide for permanent duty-free treatment on imports of basketballs.,
116-HB1798,117-HB891,short,Students and Families Empowerment Act,
116-HB2905,117-HB3808,short,Medicare IVIG Access Enhancement Act,
116-HB8828,117-HB5578,short,Public Safety and Wildlife Protection Act,
116-HB8192,117-HB1835,short,COVID Community Care Act,
116-HB8406,117-HB1835,long,,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes."
116-HB4080,117-HB7545,short,Kimberly Vaughan Firearm Safe Storage Act,
116-HB4697,117-HB2958,short,End the Limo Loophole Act,
116-HR588,117-HR856,short & long,"Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day"".","Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day""."
116-HB5789,117-HB3155,short,Small Business Child Care Investment Act,
116-HB5989,117-HB3222,short,Alabama Black Belt National Heritage Area Act,
116-HB9017,117-HB6500,long,,To temporarily allow a deduction for the trade or business expenses of employees.
116-HB4901,117-HB1522,short,Puerto Rico Statehood Admission Act,
116-HB3980,117-HB3151,short,Eric’s Law,
116-HB385,117-HB1496,short,Sarah's Law,
116-HB5583,117-HB2747,short,Help Grandfamilies Prevent Child Abuse Act,
116-HB8363,117-HB6079,long,,"To protect our democracy by preventing abuses of presidential power, restoring checks and balances and accountability and transparency in government, and defending elections against foreign interference, and for other purposes."
116-HB8170,117-HB938,short,Wildland Firefighter Recognition Act,
116-HB613,117-HB1695,short,TRICARE Reserve Select Improvement Act,
116-HB2614,117-HB195,short,Group Term Life Insurance Increase Act,
116-HB1313,117-HB396,short,Transit Security Grant Program Flexibility Act,
116-HB1381,117-HB2433,short,Burn Pit Registry Enhancement Act,
116-HB2349,117-HB2310,short,Climate Change Education Act,
116-HB7401,117-HB1616,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB3983,117-HB1616,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB7886,117-HB1945,short,HITS Act Help Independent Tracks Succeed Act,
116-HB1537,117-HB5081,short,Bayard Rustin Stamp Act,
116-HB1626,117-HB231,short,Public Service Spending Integrity Act,
116-HR908,117-HR151,short,Condemning all forms of anti-Asian sentiment as related to COVID-19.,
116-HB8840,117-HB315,short,Medicare Sequester COVID Moratorium Act,
116-HB4866,117-HB4369,long,,"To amend the 21st Century Cures Act to provide for designation of institutions of higher education that provide research, data, and leadership on continuous manufacturing as National Centers of Excellence in Continuous Pharmaceutical Manufacturing, and for other purposes."
116-HB6655,117-HB2744,short,Hazardous Duty Pay for Frontline Federal Workers Act,
116-HB7769,117-HB1732,short,RETAIN Act Retaining Educators Takes Added Investment Now Act,
116-HB958,117-HB2740,short,Native Youth and Tribal Officer Protection Act,
116-HB5003,117-HB1491,short,Fair Debt Collection Practices for Servicemembers Act,
116-HB5981,117-HB6889,short,Credit Union Board Modernization Act,
116-HB5464,117-HB7542,short,Congressional Accountability Act Enhancement Act,
116-HB5452,117-HB2599,short,Sandy Duplication of Benefits Fairness Act,
116-HCR97,117-HCR36,short,Establishing the Joint Select Committee on the Events and Activities Surrounding China's Handling of the 2019 Novel Coronavirus.,
116-HB4437,117-HB7261,short,Small Business Flexibility Act,
116-HB6471,117-HB896,short,Dr. Li Wenliang Congressional Gold Medal Act,
116-HB5955,117-HB1401,short,Muhammad Ali Congressional Gold Medal Act,
116-HB6696,117-HB346,short,SUPPLIES Act Shoring Up Personal Protective and Lifesaving Indispensable Equipment Stockpile Act,
116-HB665,117-HB1884,short,Save Oak Flat Act,
116-HB1451,117-HB1245,short,Alice Paul Voter Protection Act,
116-HB7072,117-HB2601,short,SFC Heath Robinson Burn Pit Transparency Act,
116-HB7641,117-HB3278,short & long,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.
116-HB7352,117-HB1051,short & long,BROADBAND Leadership Act Barriers and Regulatory Obstacles Avoids Deployment of Broadband Access and Needs Deregulatory Leadership Act,"To amend the Communications Act of 1934 to streamline siting processes for telecommunications service facilities, and for other purposes."
116-HB8230,117-HB6794,short,Integrating New Technologies to Empower Law Enforcement at Our Borders Act,
116-HB7344,117-HB1046,short & long,Federal Broadband Deployment in Unserved Areas Act,To require the Federal Communications Commission to provide broadband availability data to the Department of the Interior.
116-HB43,117-HB118,short,Cyber Vulnerability Disclosure Reporting Act,
116-HB1762,117-HB3382,short,Partner with Korea Act,
116-HB6683,117-HB3782,short & long,Relief for America's Small Farmers Act,"To provide loan forgiveness for certain borrowers of Department of Agriculture direct farm loans, and for other purposes."
116-HB9053,117-HB545,short,No Congressional Gun Loophole Act,
116-HB7430,117-HB4249,short & long,Screening With Dignity Act,"To protect the dignity and privacy of transgender and other minority travelers at airport security checkpoints, and for other purposes."
116-HB1517,117-HB3581,short,COMMUTE Act Connecting Opportunities through Mobility Metrics and Unlocking Transportation Efficiencies Act,
116-HB6284,117-HB3628,short,21st Century Smart Cars Act,
116-HB6952,117-HB316,short & long,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.
116-HB8762,117-HB548,short & long,Fast Track Advanced Apprenticeships Now Act,"To direct the Secretary of Labor to make a determination on whether to approve an occupation as an apprenticeable occupation in a timely manner, and for other purposes."
116-HJR106,117-HJR53,short & long,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.
116-HJR104,117-HJR53,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HJR92,117-HJR53,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HB2623,117-HB3010,short,Search and Rescue Dog Protection Act,
116-HB2497,117-HB1416,short,Tribal Adoption Parity Act,
116-HB5971,117-HB9225,long,,"To amend the Immigration Services and Infrastructure Improvements Act of 2000 to provide for additional rules regarding processing of immigration applications, and for other purposes."
116-HCR117,117-HCR21,short,"Expressing the sense of Congress that the United States should resume normal diplomatic relations with Taiwan, negotiate a bilateral free trade agreement with Taiwan, and support Taiwan's membership in international organizations.",
116-HB5940,117-HB115,short,"To award a Congressional Gold Medal to Lyndon Baines Johnson, the 36th President of the United States whose visionary leadership secured passage of the landmark Voting Rights Act of 1965, Social Security Amendments Act (Medicare) of 1965, Civil Rights Act of 1964, Higher Education Act of 1965, and Immigration and Naturalization Act of 1965.",
116-HB3938,117-HB3367,short,Gold Star Children Act,
116-HB9018,117-HB4501,long,,"To provide for the establishment of the Office for Access to Justice in the Department of Justice, and for other purposes."
116-HR1105,117-HR592,short,"Honoring the Buffalo Soldiers who were dishonorably discharged and ultimately had their honorable service restored following events which occurred in 1906 in Brownsville, Texas.",
116-HB2146,117-HB2237,short,GRACE Act Guaranteed Refugee Admission Ceiling Enhancement Act,
116-HB7470,117-HB8790,short & long,Building a Health Care Workforce for the Future Act,To amend the Public Health Service Act to help build a stronger health care workforce.
116-HB5604,117-HB8064,short,Advanced Manufacturing Jobs in America Act,
116-HB5220,117-HB2593,long,,"To amend the Congressional Budget and Impoundment Control Act of 1974 to provide for a legislative line-item veto to expedite consideration of rescissions, and cancellations of items of new direct spending and limited tax benefits."
116-HB7336,117-HB1103,short,CABLE Competition Act Consumer Access to Broadband for Local Economies and Competition Act,
116-HB8501,117-HB3737,short,"TEAMS Act Tax-preparer Enforcement, Accountability, and Minimum Standards Act",
116-HB848,117-HB756,short,To restrict certain Federal assistance benefits to individuals verified to be citizens of the United States.,
116-HB8622,117-HB170,long,,"To direct the Secretary of Homeland Security to establish national hazard preparation and response exercises, and for other purposes."
116-HB4527,117-HB4148,short,Expanding Health Care Options for Early Retirees Act,
116-HB8988,117-HB4320,long,,To amend the Internal Revenue Code of 1986 to reduce the base erosion minimum tax rate for taxable years ending in 2020.
116-HB3971,117-HB6590,short,Senior Citizens Tax Elimination Act,
116-HB2108,117-HB1166,short,Retirement Freedom Act,
116-HB4372,117-HB2027,short,MSI STEM Achievement Act,
116-HB5369,117-HB1122,short,Supporting Mexico Against Corruption Act,
116-HR266,117-HR1018,short,"Recognizing March 31 as ""César Chávez Day"" in honor of the accomplishments and legacy of César Estrada Chávez.",
116-HCR48,117-HR482,short,Supporting National Men's Health Week.,
116-HCR103,117-HR482,short,Supporting National Men's Health Week.,
116-HB600,117-HB649,short,Abby Honold Act,
116-HB6926,117-HB2297,short,MIND Act Meeting IMD Needs with Direction Act,
116-HB75,117-HB44,short,"To amend title 28, United States Code, to provide that the United States district court for the District of Columbia shall have exclusive jurisdiction over actions arising under the immigration laws, and for other purposes.",
116-HB7132,117-HB3583,short,Never Again International Outbreak Prevention Act,
116-HJR50,117-HJR13,short,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,
116-HB308,117-HB4364,short,"To redesignate Gravelly Point Park, located along the George Washington Memorial Parkway in Arlington County, Virginia, as the Nancy Reagan Memorial Park, and for other purposes.",
116-HB5082,117-HB3377,short,Gigabit Opportunity Act,
116-HB2899,117-HB5795,short,Main Street Growth Act,
116-HB5873,117-HB1842,short & long,Harriet Tubman Bicentennial Commemorative Coin Act,To require the Secretary of the Treasury to mint commemorative coins in recognition of the Bicentennial of Harriet Tubman's birth.
116-HB7372,117-HB1536,short,Improving College Affordability for our Guard and Reserve Act,
116-HB5942,117-HB117,short,DHS Cybersecurity On-the-Job Training and Employment Apprentice Program Act,
116-HB1613,117-HB1572,short,Democracy Dollars Act,
116-HB2389,117-HB5826,short,"To allow States to elect to observe year-round daylight saving time, and for other purposes.",
116-HB2576,117-HB7252,short,Federal Government Advertising Equity Accountability Act,
116-HB4642,117-HB2400,short & long,Community Broadband Mapping Act,"To allow Rural Utilities Service telecommunications grants to be made for the collection of broadband infrastructure data by local governments, economic development or other community organizations, electric or telephone cooperatives, and small internet providers."
116-HR1038,117-HR215,short,Recognizing the forthcoming centennial of the 1921 Tulsa Race Massacre.,
116-HB6473,117-HB4343,short,Patriot Retention Act,
116-HB3948,117-HB2628,short,Debt Collection Practices Harmonization Act,
116-HB5622,117-HB6910,short,For the relief of Igor Klyuchenko.,
116-HB8396,117-HB1865,short,Jenna Quinn Law,
116-HB5050,117-HB5974,short,Veterans and Consumers Fair Credit Act,
116-HB8927,117-HB7190,short,Federal Gift Shop Tax Act,
116-HB7433,117-HB3641,short,Military Spouse Student Loan Deferment Act,
116-HB6633,117-HB1034,short,Domestic Violence Public Health Emergency Guidance Act,
116-HB2499,117-HB6684,short,Hire Student Veterans Act,
116-HB947,117-HB537,short,Supplemental Security Income Equality Act,
116-HB6061,117-HB5646,short,State Justice Improvement Act,
116-HB949,117-HB837,short,Free Speech Fairness Act,
116-HB3346,117-HB4236,short,HOPE Act Health Opportunities to Promote Equity Act,
116-HR1093,117-HR283,short,"Establishing a ""Bill of Rights"" to support United States law enforcement personnel nationwide in their work to protect our communities.",
116-HB8593,117-HB2496,short,"For the relief of Lucio Enrique Perez Ortiz, Dora Gonzalez Santizo, and Edvin Oriany Perez Gonzalez.",
116-HB5741,117-HB5125,short,Strengthening Innovation in Medicare and Medicaid Act,
116-HB5577,117-HB864,long,,To amend title II of the Social Security Act to exclude from creditable wages and self-employment income wages earned for services by aliens illegally performed in the United States and self-employment income derived from a trade or business illegally conducted in the United States.
116-HB7350,117-HB1067,short & long,Standard FEES Act Standard Fees to Expedite Evaluation and Streamlining Act,"To streamline the process for consideration of applications for the placement of communications facilities on certain buildings and other property owned by the Federal Government, and for other purposes."
116-HB1378,117-HB4206,short,District of Columbia Clemency Home Rule Act,
116-HB5326,117-HB2812,short,Fairness in Nursing Home Arbitration Act,
116-HB6188,117-HB1739,short,Support Our Military Working Dogs Act,
116-HB208,117-HB157,short,Guam Supplemental Security Income Equality Act,
116-HB1266,117-HB1454,short,Ghost Guns Are Guns Act,
116-HR846,117-HR79,short,Urging the people of the United States to observe the month of April of each year as Hazel M. Johnson Environmental Justice Month.,
116-HB2517,117-HB3287,short,United States Postal Service Shipping Equity Act,
116-HB6491,117-HB3193,short,E-BRIDGE Act Eliminating Barriers to Rural Internet Development Grant Eligibility Act,
116-HB3981,117-HB6167,long,,"To establish requirements for quality and discard dates that are, at the option of food labelers, included in food packaging, and for other purposes."
116-HB5337,117-HB5298,long,,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide assistance for common interest communities, condominiums, and housing cooperatives damaged by a major disaster, and for other purposes."
116-HB6248,117-HB1697,short & long,Disability Access to Transportation Act,"To amend title 23, United States Code, to increase accessible transportation for individuals with disabilities."
116-HB8138,117-HB56,short & long,Patient Access to Medical Foods Act,"To amend the Orphan Drug Act with respect to the definition of medical food, and for other purposes."
116-HB5637,117-HB2111,short,Michael Lecik Military Firefighters Protection Act,
116-HB296,117-HB243,short,Title X Abortion Provider Prohibition Act,
116-HR579,117-HR49,short,"Expressing the sense of the Congress that a commemorative postage stamp series should be issued honoring women veterans, and that the Citizens' Stamp Advisory Committee should recommend to the Postmaster General that such a stamp series be issued.",
116-HB4670,117-HB8700,short,Simplifying Student Loans Act,
116-HB4639,117-HB6537,short,Pell Grant Sustainability Act,
116-HB5784,117-HB7313,long,,"To amend the Higher Education Act of 1965 to improve programs for minority students in STEM fields, and for other purposes."
116-HB7492,117-HB1740,short,To designate all of Puerto Rico as an opportunity zone.,
116-HB5506,117-HB388,short & long,Hawaii Invasive Species Protection Act,"To amend the Farm Security and Rural Investment Act of 2002 by requiring preclearance quarantine inspections for all movement to or from the State of Hawaii by either domestic or international travel, and for other purposes."
116-HB7086,117-HB1322,short & long,Fiscal State of the Union Act,"To require an annual fiscal state of the union, and for other purposes."
116-HB6998,117-HB1261,short,"To amend the Omnibus Parks and Public Lands Management Act of 1996 to reauthorize the Ohio & Erie National Heritage Canalway, and for other purposes.",
116-HB8916,117-HB1288,short & long,"To amend the Gullah/Geechee Cultural Heritage Act to extend the authorization of the Gullah/Geechee Cultural Heritage Corridor Commission, and for other purposes.","To amend the Gullah/Geechee Cultural Heritage Act to extend the authorization of the Gullah/Geechee Cultural Heritage Corridor Commission, and for other purposes."
116-HB599,117-HB244,short,Executive Branch Conflict of Interest Act,
116-HB6759,117-HB244,short,Executive Branch Conflict of Interest Act,
116-HB4341,117-HB1569,long,,"To assist in the conservation of critically endangered species in foreign countries, and for other purposes."
116-HB7421,117-HB1049,short,Expediting Federal Broadband Deployment Reviews Act,
116-HB1104,117-HB271,short,"To amend the Federal Food, Drug, and Cosmetic Act to require labeling of genetically engineered fish.",
116-HR876,117-HR172,short,"Expressing support for the designation of February 28, as ""Desert Storm Veterans Day"".",
116-HB8493,117-HB1772,short,Passports for Purple Hearts Act,
116-HB9015,117-HB4960,short,Preserving Existing Nuclear Energy Generation Act,
116-HB1705,117-HB2715,short & long,Jaime’s Law,To prevent the purchase of ammunition by prohibited purchasers.
116-HB3566,117-HB4823,short,Social Security Disability Insurance Return to Work Act,
116-HB1029,117-HB4719,short,Space Resources Institute Act,
116-HB981,117-HB614,short,Put School Counselors Where They’re Needed Act,
116-HB902,117-HB6128,short,Protect American IPR Act,
116-HB6124,117-HB5289,short,Assistance for Firms Harmed by Tariffs on Exports Act,
116-HB7743,117-HB5361,long,,"To require the Secretary of Housing and Urban Development to establish a national evictions database, and for other purposes."
116-HB8339,117-HB691,short,Expanding Opportunity through Pre-Apprenticeships Act,
116-HB5234,117-HB2141,short,Motorcyclist Advisory Council Reauthorization Act,
116-HB5262,117-HB1990,short,Medicare Orthotics and Prosthetics Patient-Centered Care Act,
116-HB1701,117-HB2345,short,Federal Government Decentralization Commission Act,
116-HR425,117-HR1161,short,Recognizing the significance of National Caribbean American Heritage Month.,
116-HR38,117-HR871,short,Supporting the goals and ideals of Korean American Day.,
116-HR537,117-HR550,short,Expressing the sense of the House of Representatives regarding United States policy recognizing the Assyrian Genocide.,
116-HB5474,117-HB3176,short,Shawnee Wilderness Designation Act,
116-HB1861,117-HB8787,short,ZZZ’s to A’s Act,
116-HB8626,117-HB448,short & long,Energy Resilient Communities Act,"To direct the Secretary of Energy to carry out a grant program to improve the energy resilience, energy democracy, and security of communities, prioritizing environmental justice communities, and for other purposes."
116-HB186,117-HB5354,short,Veterans Jobs Opportunity Act,
116-HB7768,117-HB969,long,,"To require that independent agencies comply with all requirements of rulemaking, and for other purposes."
116-HR335,117-HR1022,short,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.,
116-HR948,117-HR1022,short,Expressing support for the recognition of April as Arab American Heritage Month and celebrating the heritage and culture of Arab Americans in the United States.,
116-HB2421,117-HB2947,short,ALERT Act Accountability of Leaders in Education to Report Title IX Investigations Act,
116-HB3740,117-HB2086,long,,"To amend the Immigration and Nationality Act to simplify and rename the H-2C worker program, and for other purposes."
116-HR272,117-HR284,short,Affirming that all men and women are created equal.,
116-HB5137,117-HB2220,short,"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.",
116-HCR6,117-HCR69,short,Providing for a joint session of Congress to receive a message from the President.,
116-HR1223,117-HR1504,short,Supporting the goals of World AIDS Day.,
116-HB1540,117-HB4851,short,Protecting Our Widows and Widowers in Retirement (POWR) Act,
116-HB7368,117-HB3942,short & long,Brandon Act,"To amend title 10, United States Code, to improve the process by which a member of the Armed Forces may be referred for a mental health evaluation."
116-HB315,117-HB1146,short,Community Reclamation Partnerships Act,
116-HB6581,117-HB986,short,Robust International Response to Pandemic Act,
116-HB5533,117-HB445,short,For the relief of Yazmin Fabiola Juarez Coyoy.,
116-HB2688,117-HB4344,short,Salad Bars in Schools Expansion Act,
116-HB4571,117-HB4532,short & long,Accelerating Individuals into the Workforce Act,To provide for the conduct of demonstration projects to test the effectiveness of subsidized employment for TANF recipients.
116-HB5419,117-HB5704,short,Gig Is Up Act,
116-HB6247,117-HB3199,short & long,Partnerships for American Jobs Act,"To establish a competitive grant program at the U.S. Department of Education to support the development, production, and distribution of public media programming designed to prepare Americans for in-demand occupations that address the needs of State and local economies."
116-HB2817,117-HB627,long,,"To amend title 18, United States Code, to prohibit taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions."
116-HB2149,117-HB233,short,Exposing the Financing of Human Trafficking Act,
116-HB4433,117-HB4152,short,Appalachian Regional Energy Hub Initiative Act,
116-HB8386,117-HB2985,long,,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of rural community response pilot programs for funding under the Comprehensive Opioid Abuse Grant Program, and for other purposes."
116-HB6666,117-HB726,short,"COVID–19 Testing, Reaching, And Contacting Everyone (TRACE) Act",
116-HB7860,117-HB1194,short & long,Expanding Access to Emergency Meals Act,To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to ensure food assistance during a major disaster or emergency declared under such Act.
116-HB4161,117-HB3124,short,COMP Act Coordination Of Medicare Payments and Worker’s Compensation Act,
116-HB8596,117-HB277,short & long,Limiting Section 230 Immunity to Good Samaritans Act,"To amend the Communications Act of 1934 to provide accountability for bad actors who abuse the Good Samaritan protections provided under that Act, and for other purposes."
116-HB5903,117-HB1675,short,TRAIN Act Transit Revitalization And Infrastructure Needs Act,
116-HB3786,117-HB1586,short & long,Student Loan Reform Act,"To amend the Higher Education Act of 1965 to direct the Secretary of Education to carry out a program under which an institution of higher education may elect to cosign Federal student loans made to students attending the institution, and for other purposes."
116-HB8926,117-HB1845,short & long,American High-Speed Rail Act,"To amend chapter 261 of title 49, United States Code, to provide for high-speed rail corridor development, and for other purposes."
116-HB8958,117-HB1350,short & long,Supporting Best Practices for Healthy Moms Act,To require the Secretary of Health and Human Services to publish guidance for States on strategies for maternal care providers participating in the Medicaid program to reduce maternal mortality and severe morbidity with respect to individuals receiving medical assistance under such program.
116-HB3404,117-HB1782,long,,"To amend the National Firearms Act to require that local chief law enforcement officers be notified of, and provided a 90-day period to deny, firearm transfers."
116-HB211,117-HB1774,short,Hold Congress Accountable Act,
116-HR755,117-HR34,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
116-HR13,117-HR34,short,"Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",
116-HB7420,117-HB3930,short,Voices for Veterans Act,
116-HB8215,117-HB4258,long,,"To establish a governmentwide approach to improving digital identity, and for other purposes."
116-HB6428,117-HB6776,long,,"To provide for the exemption of certain earnings from the retirement earnings test, and for other purposes."
116-HB1504,117-HB1278,short,Know Your Polling Place Act,
116-HB7601,117-HB2622,short,CONFUCIUS Act Concerns Over Nations Funding University Campus Institutes in the United States Act,
116-HB1459,117-HB2409,short,U.S.-Israel Cooperation Expansion Act,
116-HB1755,117-HB2996,short,"ARTICLE ONE Act Assuring that Robust, Thorough, and Informed Congressional Leadership is Exercised Over National Emergencies Act",
116-HB5978,117-HB5555,short,MADE HERE Act Manufacturing American Dynamism in Entrepreneurship and Harnessing Education to Retool Employees Act,
116-HB2534,117-HB2655,short,Insider Trading Prohibition Act,
116-HB8302,117-HB559,long,,To promote the furtherance of standards necessary to safeguard the welfare of apprentices.
116-HB2976,117-HB3574,short,Filing Relief for Natural Disasters Act,
116-HB6183,117-HB1343,short,Voting Access Act,
116-HB8578,117-HB624,short & long,Parris Island Protection Act,"To prohibit the use of Federal funds to close or realign the Marine Corps Recruit Depot located at Parris Island, South Carolina."
116-HB7753,117-HB2907,long,,"To direct the Secretary of Commerce, in coordination with the heads of other relevant Federal departments and agencies, to conduct an interagency review of and report to Congress on ways to increase the global competitiveness of the United States in attracting foreign direct investment."
116-HB5110,117-HB4924,short,APPRISE Act All Participating in Process Reaching Informed Solutions for Everyone Act,
116-HB2107,117-HB7040,short,Affordable College Textbook Act,
116-HR544,117-HR1305,short,Recognizing Islam as one of the great religions of the world.,
116-HR1090,117-HR1305,short,Recognizing Islam as one of the great religions of the world.,
116-HB2378,117-HB5636,short,Kerrie Orozco First Responders Family Support Act,
116-HB5142,117-HB1327,short,Green Energy for Federal Buildings Act,
116-HB248,117-HB916,short,REDUCE Act Rebalance for an Effective Defense Uniformed and Civilian Employees Act,
116-HB4707,117-HB2059,short,Federal Firefighter Flexibility and Fairness Act,
116-HB5641,117-HB2205,short & long,Incentivizing Value Capture for Greener Transportation Act,"To amend title 49, United States Code, to provide grants and develop value capture policy."
116-HB6750,117-HB650,short,STOP Act Senior abuse Training and Offense Prevention Act,
116-HB2024,117-HB1232,short,Diplomatic Personnel Modernization Act,
116-HB4197,117-HB6496,short,Revitalizing Cities Through Parks Enhancement Act,
116-HB2694,117-HB1065,short,Pregnant Workers Fairness Act,
116-HB5924,117-HB944,short,"To amend the Public Health Service Act to authorize a loan repayment program to encourage specialty medicine physicians to serve in rural communities experiencing a shortage of specialty medicine physicians, and for other purposes.",
116-HB6539,117-HB1353,short,Coronavirus Medicaid Response Act,
116-HB9017,117-HB3058,long,,To temporarily allow a deduction for the trade or business expenses of employees.
116-HB8776,117-HB731,long,,"To direct the Secretary of Labor to make grants to eligible applicants to provide stipends to individuals enrolled in a pre-apprenticeship program, and for other purposes."
116-HB8417,117-HB5157,short,Direct Primary Care for America Act,
116-HB3833,117-HB8522,short,"SIMPLE Act Streamlining Income-driven, Manageable Payments on Loans for Education Act",
116-HB3555,117-HB4751,short,Exposing Discrimination in Higher Education Act,
116-HB5129,117-HB2692,short & long,Ban Corporate PACs Act,"To amend the Federal Election Campaign Act of 1971 to limit the authority of corporations to establish and operate separate segregated funds utilized for political purposes, including the establishment or operation of a political committee, to nonprofit corporations, and for other purposes."
116-HB4389,117-HB3830,short,SPELL Act Supporting Providers of English Language Learning Act,
116-HB8585,117-HB1435,short,American Right to Family Act,
116-HB5414,117-HB2722,short,ALLERGY Act Alerting Local Leaders and Ensuring Responsible Guidelines for Youth Act,
116-HR221,117-HR137,short,"Reaffirming the importance of upholding democracy, human rights, and the rule of law in United States foreign policy.",
116-HB5422,117-HB2737,short,Modernizing Agricultural and Manufacturing Bonds Act,
116-HB8713,117-HB7165,long,,"To amend the Lead-Based Paint Poisoning Prevention Act to provide for additional procedures for families with children under the age of 6, and for other purposes."
116-HB1040,117-HB1040,short,Flat Tax Act,
116-HB8330,117-HB2054,short,No Surprise Bills for New Moms Act,
116-HB7021,117-HB8288,short,LAUNCHES Act Leveraging American Understanding of Next-generation Challenges Exploring Space Act,
116-HB1609,117-HB7287,short,Anti-Border Corruption Improvement Act,
116-HJR29,117-HJR6,short,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,
116-HJR12,117-HJR6,short,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,
116-HJR4,117-HJR6,short,Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,
116-HB7780,117-HB1544,long,,"To authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to facilitate the funding of community-based mental health and substance use disorder services and peer support programs, and for other purposes."
116-HB6536,117-HB3997,long,,To amend the Richard B. Russell National School Lunch Act to enhance direct certification under the school lunch program.
116-HB5418,117-HB1966,short,Empowering Nonprofits Act,
116-HB7204,117-HB2685,short,Understanding Cybersecurity of Mobile Networks Act,
116-HB6963,117-HB4746,long,,"To amend the Federal Power Act with respect to the rehearing process, and for other purposes."
116-HB6940,117-HB5476,short,Advancing Tech Startups Act,
116-HR821,117-HR583,short,Amending the Rules of the House of Representatives to establish a Permanent Select Committee on Aging.,
116-HB3864,117-HB2219,short,End Child Trafficking Now Act,
116-HB3617,117-HB418,long,,"To sunset new Federal regulatory rules after 3 years, and for other purposes."
116-HB857,117-HB180,short,Inaction Has Consequences Act,
116-HR282,117-HR821,short,"Expressing the sense of the House of Representatives regarding the importance of local print and digital journalism to the continued welfare, transparency, and prosperity of government at every level and the continuation and freedom of the United States as it is known today.",
116-HB7807,117-HB681,short,For the relief of Rebecca Trimble.,
116-HB4489,117-HB8261,long,,To prohibit unfair and deceptive advertising of rates for hotel rooms and other places of short-term lodging.
116-HB3922,117-HB835,short,American Opportunity Accounts Act,
116-HB2778,117-HB3126,short,Healthy MOM Act Healthy Maternity and Obstetric Medicine Act,
116-HB4668,117-HB8216,short,Digital Citizenship and Media Literacy Act,
116-HB5927,117-HB5003,short,Safe Medicine Act,
116-HB5982,117-HB5003,short,Safe Medicine Act,
116-HB8498,117-HB1382,short,Informed Consent Act,
116-HB5526,117-HB6941,short,Territorial Representation in the Senate Act,
116-HR12,117-HR843,short,"Affirming the historical connection of the Jewish people to the ancient and sacred city of Jerusalem and condemning efforts at the United Nations Educational, Scientific, and Cultural Organization (UNESCO) to deny Judaism's millennia-old historical, religious, and cultural ties to Jerusalem.",
116-HB4236,117-HB5533,short,Reducing Waste in National Parks Act,
116-HB4709,117-HB2957,short,Take Unsafe Limos Off the Road Act,
116-HB3326,117-HB417,short,End the Congressional Revolving Door Act,
