Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB3186,"To award career pathways innovation grants to local educational agencies and consortia of local educational agencies, to provide technical assistance within the Office of Career, Technical, and Adult Education to administer the grants and support the local educational agencies with the preparation of grant applications and management of grant funds, to amend the Higher Education Act of 1965 to support community college and industry partnerships, and for other purposes.",0.4482443181016831,-0.014180629174947
HB4461,"To establish an independent agency in the executive branch to be known as the Federal Institute of Technology, and for other purposes.",0.4683728424465854,-0.0662230441205448
HB1814,"To authorize the Secretary of Education to make grants to support educational programs in civics and history, and for other purposes.",0.4768415234248961,-0.0593389072511563
HB6108,"To amend the Higher Education Act of 1965 to support community college and industry partnerships, and for other purposes.",0.4877305085398593,0.0455764031445189
HB8247,"To amend the Higher Education Act of 1965 to establish an emergency grant aid program, and for other purposes.",0.4885222180350143,0.0497876972043916
HB2037,To extend Federal Pell Grant eligibility of certain short-term programs.,0.4912308399168933,-0.008747345803105
HB542,"To authorize the establishment of an Education Jobs Fund to retain and create education jobs in communities most impacted by COVID-19, and for other purposes.",0.4948216562917442,-0.0367116325956469
HB4449,"To provide low-income individuals with opportunities to enter and follow a career pathway in the health professions, to extend and expand demonstration projects, and for other purposes.",0.4971218840060409,-0.0508227675933249
HB1911,"To provide assistance with respect to child care infrastructure, and for other purposes.",0.5002818286545847,-0.0603225603745297
HB3312,"To provide for the overall health and well-being of young people, including the promotion and attainment of lifelong sexual health and healthy relationships, and for other purposes.",0.5037259396945037,-0.0375012755950304
HB5235,"To amend the Public Health Service Act to authorize the Secretary of Health and Human Services, acting through the Assistant Secretary for Mental Health and Substance Use, to award grants to eligible entities to establish or maintain a student mental health and safety helpline, and for other purposes.",0.5160694980462853,0.0367589525332151
HB838,To support children with disabilities during the COVID-19 pandemic.,0.5315605908632889,0.0115099600272832
HB9001,"To secure schools, to increase access to mental health resources, and for other purposes.",0.5341654325587039,-0.0219957265706431
HB6287,"To amend the McKinney-Vento Homeless Assistance Act to meet the needs of homeless children, youth, and families, and honor the assessments and priorities of local communities.",0.5469779873160533,-0.0279715248318105
HB8688,"To establish a grant program for certain institutions of higher education to plan and implement projects for economic and community development in economically distressed communities, and for other purposes.",0.5503532177384681,0.0362442697270623
HB8445,"To authorize the Director of the National Museum of American History of the Smithsonian Institution to support LGBTQI+ history and women's history education programs, and for other purposes.",0.5531302752324392,-0.0511629812405488
HB3453,"To provide community-based nonprofit feeding and anti-hunger groups with funding to partner with small and mid-sized restaurants to expand meal access and delivery for low-income and vulnerable populations during, and through 1 year following the end of, a pandemic or public health emergency.",0.5533405800550505,8.485567644157516e-05
HB8140,"To enable high research activity status historically Black colleges or universities to increase capacity toward achieving very high research activity status, and for other purposes.",0.5664412944563808,-0.0050583790745386
HB4005,"To direct the Director of the Cybersecurity and Infrastructure Security Agency to establish a School Cybersecurity Improvement Program, and for other purposes.",0.5680697071196799,0.0422456701810885
HB4389,"To increase cybersecurity education and job growth, and for other purposes.",0.5695080632467858,-0.0238085265115992
HB9423,"To require the Administrator of the Small Business Administration to establish a grant program to create or expand programs at minority-serving institutions relating to minority entrepreneurship and business ownership, and for other purposes.",0.5698895889790063,-0.0328968059375505
HB4134,"To support empowerment, economic security, and educational opportunities for adolescent girls around the world, and for other purposes.",0.5707533488862725,-0.0219424320715275
HB637,To direct the Secretary of Veterans Affairs to provide retraining assistance to certain veterans unemployed by reason of the COVID-19 public health emergency.,0.586457891310286,-0.0479185400021565
HB313,"To provide increased funding for States and communities in need, and for other purposes.",0.5879745412893488,-0.0415487638666911
HB1688,To amend the Indian Child Protection and Family Violence Prevention Act.,0.5894536079736722,-0.0138108760328673
