Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB1848,"To rebuild and modernize the Nation's infrastructure to expand access to broadband and Next Generation 9-1-1, rehabilitate drinking water infrastructure, modernize the electric grid and energy supply infrastructure, redevelop brownfields, strengthen health care infrastructure, create jobs, and protect public health and the environment, and for other purposes.",0.3159118922401286,0.1782045166059687
HB7585,"To improve the health of minority individuals, and for other purposes.",0.3351457323522266,0.117613941349723
HB1512,"To build a clean and prosperous future by addressing the climate crisis, protecting the health and welfare of all Americans, and putting the Nation on the path to a net-zero greenhouse gas economy by 2050, and for other purposes.",0.3379044771719189,0.168984000992765
HB1,"To expand Americans’ access to the ballot box, reduce the influence of big money in politics, strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy, and for other purposes.",0.3463307683021851,0.1946245379030771
HB4792,To counter the malign influence and theft perpetuated by the People's Republic of China and the Chinese Communist Party.,0.3472250745015584,0.1768478077101216
HB3684,"To authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",0.3476097993121303,0.1738786830113192
HB5314,"To protect our democracy by preventing abuses of presidential power, restoring checks and balances and accountability and transparency in government, and defending elections against foreign interference, and for other purposes.",0.3521768778676358,0.1898773178366451
HB2021,"To restore, reaffirm, and reconcile environmental justice and civil rights, and for other purposes.",0.3522333831379967,0.177076128937109
HB6637,"To amend the Immigration and Nationality Act to make mandatory and permanent requirements relating to use of an electronic employment eligibility verification system, and for other purposes.",0.3578029740950504,0.192191407872126
HB8588,"To address the high costs of health care services, prescription drugs, and health insurance coverage in the United States, and for other purposes.",0.3583795644360332,0.1207997886149199
HB3000,"To build on America's spirit of service to nurture, promote, and expand a culture of service to secure the Nation's future, address critical needs of the Nation, and strengthen the civic fabric of American society.",0.37026134399782,0.1703926508049499
HB2768,"To make housing more affordable, and for other purposes.",0.3872726239285254,0.1661243477166714
HB4357,"To amend the Homeland Security Act of 2002 to make certain reforms to the Department of Homeland Security, and for other purposes.",0.3996211973336872,0.1831074372506894
HB8851,"To provide support and assistance to unborn children, pregnant women, parents, and families.",0.4015415909752343,0.1393425903712104
HB2731,"To establish a new Directorate for Technology and Innovation in the National Science Foundation, to establish a regional technology hub program, to require a strategy and report on economic security, science, research, innovation, manufacturing, and job creation, to establish a critical supply chain resiliency program, and for other purposes.",0.4023416483984031,0.1717715315103019
HB5304,"Making continuing appropriations for the fiscal year ending September 30, 2022, and for providing emergency assistance, and for other purposes.",0.4154642208195458,0.1630021664410592
HB2803,"To address the impact of climate change on agriculture, and for other purposes.",0.4222974695291879,0.1505285729537872
HB7628,"To increase oversight of and improve programs of the Small Business Administration, and for other purposes.",0.4244362168981043,0.1760732195825922
HB4690,"To reauthorize and amend the Magnuson-Stevens Fishery Conservation and Management Act, and for other purposes.",0.4360634534228785,0.1514521176909833
HB8017,"To make certain improvements to the workforce of the Department of Veterans Affairs, and for other purposes.",0.4826294679605979,0.1179448514060392
HB4559,"To require the Secretary of Defense to enhance the readiness of the Department of Defense to challenges relating to climate change and to improve the energy and resource efficiency of the Department, and for other purposes.",0.4861024531349562,0.1143904946785741
HCR83,Setting forth the congressional budget for the United States Government for fiscal year 2022 and setting forth the appropriate budgetary levels for fiscal years 2023 through 2031.,0.4921578425337474,0.1397643489377427
HB5412,"To authorize appropriations for fiscal year 2022 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes.",0.4929711816938615,0.1232674521019914
HB6393,To amend chapter 31 of title 31 of the United States Code and title IV of the Congressional Budget Act of 1974 to automatically suspend the debt limit for the fiscal year of a budget resolution.,0.5308667710402757,0.1037001687633929
