Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB5494,"To limit the extent to which certain Federal law enforcement agencies may be permitted to conduct law enforcement functions in a jurisdiction without the approval of such jurisdiction, and for other purposes.",0.6330804295552737,-0.0085918966330356
HB2802,"To allow amounts made available under the American Rescue Plan Act of 2021 for the Coronavirus State Fiscal Recovery Fund and the Coronavirus Local Fiscal Recovery Fund to be made available to eligible law enforcement agencies for border security, and for other purposes.",0.6355494434005087,0.0208324996335198
HB1527,"To establish the Homeland Security Investigations victim assistance program, and for other purposes.",0.6371618389123803,0.0168529930392825
HB5969,"To amend the Immigration and Nationality Act with respect to certain asylum application procedures, and for other purposes.",0.6377832247797365,0.018920380637955
HB3343,"To amend section 212 of the Immigration and Nationality Act to ensure that efforts to engage in espionage or technology transfer are considered in visa issuance, and for other purposes.",0.6389603784047295,0.0125848053067557
HB2029,"To provide that individuals who are beneficiaries of deferred action, deferred enforced departure, or temporary protected status shall be treated in the same manner as citizens of the United States for purposes of determining the eligibility of such individuals to serve as officers or employees of Congress.",0.6400361502776385,0.010899199249064
HB9167,"To provide for operations of U.S. Customs and Border Protection in foreign countries, and for other purposes.",0.6416773582506174,0.0056840363884638
HB9493,"To amend the Export Control Reform Act of 2018 to reauthorize the export administrative subpoena authority and other authorities under that Act, and for other purposes.",0.6419673027087872,0.0015845820543023
HB9174,"To authorize State enforcement of immigration laws, and for other purposes.",0.6425536324055431,0.0295901582793028
HB1843,"To facilitate the expedited review of COVID-19 hate crimes, and for other purposes.",0.6450049850882523,-0.0035680048296974
HB9238,"To transfer certain amounts authorized to be appropriated for foreign assistance to the Department of Homeland Security for programs securing the southern border of the United States, and for other purposes.",0.6457498821431388,0.0204252267606967
HB1540,"To provide for joint reports by relevant Federal agencies to Congress regarding incidents of terrorism, and for other purposes.",0.64732771385226,0.0049443842900586
HB3769,"To improve the safety and security of members of the Armed Forces, and for other purposes.",0.6500786641557517,-0.0301068366513949
HB5513,"To amend the National Security Act of 1947 to ensure that the process for an individual obtaining a security clearance includes vetting the individual for ties to domestic terrorism, and for other purposes.",0.6580111538203796,-0.0041145817360045
HB6305,"To ensure the security of biomedical research, and for other purposes.",0.6607094765593161,-0.0385713214552986
HB645,To amend the Elementary and Secondary Education Act of 1965 to strengthen school security.,0.6645295703314757,-0.0573514747703821
HB4500,"To incentivize States to provide robust qualified immunity to law enforcement officers, and for other purposes.",0.6792952498075481,-0.0129146725444912
HB9107,"To amend title 46, United States Code, to require a State to enter into a data sharing agreement with the Secretary of Homeland Security and the Secretary of Transportation in order to be eligible for the port security grant program and the port infrastructure development program.",0.6848919097926153,-0.002288022837607
HB3206,To amend the Federal Lands Recreation Enhancement Act to provide for a lifetime National Recreational Pass for law enforcement officers.,0.6938509233114662,-0.0141845182138681
HB8432,"To authorize the National Detector Dog Training Center, and for other purposes.",0.7006302287240314,-0.0059308595804436
