Bill Name,Long Title,Distance to Centroid,Silhouette Score
HR1411,"Expressing support for the designation of October 2 through October 8, 2022, as ""National 4-H Week"".",0.5572957773457772,0.0918880839551301
HR1485,"Expressing support for the designation of November 17, 2022, as ""National Rural Mental Health Day"".",0.5608983274962799,0.0888759987017299
HR1441,"Expressing support for the designation of the week beginning on November 7, 2022, as ""National School Psychology Week"".",0.561871858641543,0.0956499147972893
HR1483,Supporting the goals and ideals of National Rural Health Day.,0.5627032142510997,0.0845682891223294
HR1008,Supporting the goals and ideals of National Women's History Month.,0.5644700873196304,0.0639994806876159
HR20,"Expressing support for the goals and ideals of ""National Hydrocephalus Awareness Month"".",0.5676321398057375,0.0840574294416212
HR781,"Expressing support for the designation of the week beginning on November 8, 2021, as ""National School Psychology Week"".",0.5702014983506852,0.0977326197682023
HR1069,"Expressing support for the designation of May 7 each year as ""Brain Donation Awareness Day"".",0.5720171532721369,0.0697755094243778
HR1317,"Expressing support for the designation of November 20, 2022, through December 20, 2022, as ""National Survivors of Homicide Victims Awareness Month"".",0.5755859096899842,0.0377243046832846
HR1352,"Supporting the designation of ""Telehealth Awareness Week"".",0.5784035868149808,0.0902128415549981
HR1145,Recognizing Menstrual Hygiene Day.,0.5871942445490486,0.0512921411261936
HR1371,"Expressing support for the designation of the week of September 19 through September 25, 2022, as ""Rail Safety Week"" in the United States, and supporting the goals and ideals of Rail Safety Week to reduce rail-related incidents, fatalities, and injuries.",0.5908829636783347,0.0662900306422
HR933,Supporting the goals and ideals of National Engineers Week.,0.5942228154459254,0.0639094649830017
HR368,"Expressing support for the designation of May 5, 2021, as the ""National Day of Awareness for Missing and Murdered Indigenous Women and Girls"".",0.5993521385814423,0.0384024679387117
HR542,"Expressing support for the designation of July 2021 as ""American Grown Flower and Foliage Month"".",0.5995729428709479,0.0537378892417037
HR1457,"Supporting the goals and ideals of ""National Poppy Day"".",0.6037779917266417,0.0639875054401342
HR1524,"Supporting the designation of December 17, 2022, as ""National Wreaths Across America Day"".",0.6047975707910848,0.0605040872838451
HR1076,"Expressing support for the designation of the week of May 2, 2022, through May 5, 2022, as ""National Small Business Week"" to celebrate the contributions of small businesses and entrepreneurs in every community in the United States.",0.6297862911386002,0.0660536721410887
HR659,"Expressing support for the designation of September 2021 as ""National Kinship Care Month"".",0.631582595840408,0.0601926018933302
HR686,"Expressing support for the designation of September 28, 2021, as ""National Voter Registration Day"".",0.6372118613084549,0.0667018092814651
