Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB7303,"To designate the facility of the United States Postal Service located at 129 Walnut Street in Corning, New York, as the ""Amory 'Amo' Houghton, Jr. Post Office Building"".",0.5584015695897669,0.1636584031615405
HB8082,"To designate the facility of the United States Postal Service located at 101 West Washington Street in Charles Town, West Virginia, as the ""Corporal Frank Buckles Post Office"".",0.559079701958227,0.1620164603573713
HB7873,"To designate the facility of the United States Postal Service located at 400 Southern Avenue Southeast in Washington, District of Columbia, as the ""District of Columbia Servicemembers and Veterans Post Office"".",0.5599171211783427,0.1213336767693854
HB8975,"To provide States with the authority to name post offices located in the State, and for other purposes.",0.5690932497361892,0.1194415316138887
HB5577,"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the ""John R. Lewis Post Office Building"".",0.5708840752370132,0.1659511758389822
HB6040,"To designate the facility of the United States Postal Service located at 11 Robert Smalls Parkway Suite C, in Beaufort, South Carolina, as the ""Robert Smalls Post Office"".",0.5738640838255427,0.1643655292725009
HB3613,"To designate the facility of the United States Postal Service located at 202 Trumbull Street in Saint Clair, Michigan, as the ""Corporal Jeffrey Robert Standfest Post Office Building"".",0.5749781592021367,0.165587381774108
HB6386,"To designate the facility of the United States Postal Service located at 450 West Schaumburg Road in Schaumburg, Illinois, as the ""Veterans of Iraq and Afghanistan Memorial Post Office Building"".",0.5764482475624573,0.1454037606796394
HB6626,"To designate the facility of the United States Postal Service located at 3903 Melear Drive in Arlington, Texas, as the ""Ron Wright Post Office Building"".",0.5809037916785577,0.1716542693578792
HB208,"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.",0.5845778435849496,0.1532589948229642
HB4660,"To designate the Federal Building and United States Courthouse located at 1125 Chapline Street in Wheeling, West Virginia, as the ""Frederick P. Stamp, Jr. Federal Building and United States Courthouse"".",0.6634515928754764,0.115153943743234
HB6313,"To designate the Department of Veterans Affairs community-based outpatient clinic in French Camp, California, as the ""Richard A. Pittman Department of Veterans Affairs Health Care Clinic"".",0.6934635340030798,0.0247543308663372
HB8721,"To designate the mountain at Mount Rushmore National Memorial, South Dakota, as Mount Rushmore, and for other purposes.",0.71818828699181,0.0393465308286389
HB8929,"To designate the Cold War Museum located at 7142 Lineweaver Road, Warrenton, Virginia, as the ""National Cold War Museum of the United States"", and for other purposes.",0.7336860263574185,0.0044081549038913
